,country,clusters,total
0,Argentina,0,0.02
1,Argentina,1,0.04
2,Armenia,0,0.0
3,Armenia,1,0.0
4,Australia,0,0.01
5,Australia,1,0.02
6,Austria,0,0.05
7,Austria,1,0.01
8,Bosnia and Herzegovina,0,0.0
9,Bosnia and Herzegovina,1,0.0
10,Brazil,0,0.0
11,Brazil,1,0.0
12,Bulgaria,0,0.0
13,Bulgaria,1,0.0
14,Canada,0,0.0
15,Canada,1,0.0
16,Chile,0,0.03
17,Chile,1,0.04
18,China,0,0.0
19,China,1,0.0
20,Croatia,0,0.0
21,Croatia,1,0.0
22,Cyprus,0,0.0
23,Cyprus,1,0.0
24,Czech Republic,0,0.0
25,Czech Republic,1,0.0
26,Egypt,0,0.0
27,Egypt,1,0.0
28,England,0,0.0
29,England,1,0.0
30,France,0,0.23
31,France,1,0.12
32,Georgia,0,0.0
33,Georgia,1,0.0
34,Germany,0,0.04
35,Germany,1,0.0
36,Greece,0,0.01
37,Greece,1,0.0
38,Hungary,0,0.0
39,Hungary,1,0.0
40,India,0,0.0
41,India,1,0.0
42,Israel,0,0.0
43,Israel,1,0.01
44,Italy,0,0.12
45,Italy,1,0.17
46,Lebanon,0,0.0
47,Lebanon,1,0.0
48,Luxembourg,0,0.0
49,Luxembourg,1,0.0
50,Macedonia,0,0.0
51,Macedonia,1,0.0
52,Mexico,0,0.0
53,Mexico,1,0.0
54,Moldova,0,0.0
55,Moldova,1,0.0
56,Morocco,0,0.0
57,Morocco,1,0.0
58,New Zealand,0,0.01
59,New Zealand,1,0.01
60,Peru,0,0.0
61,Peru,1,0.0
62,Portugal,0,0.05
63,Portugal,1,0.04
64,Romania,0,0.0
65,Romania,1,0.0
66,Serbia,0,0.0
67,Serbia,1,0.0
68,Slovakia,0,0.0
69,Slovakia,1,0.0
70,Slovenia,0,0.0
71,Slovenia,1,0.0
72,South Africa,0,0.01
73,South Africa,1,0.01
74,Spain,0,0.04
75,Spain,1,0.06
76,Switzerland,0,0.0
77,Switzerland,1,0.0
78,Turkey,0,0.0
79,Turkey,1,0.0
80,US,0,0.36
81,US,1,0.48
82,Ukraine,0,0.0
83,Ukraine,1,0.0
84,Uruguay,0,0.0
85,Uruguay,1,0.0
