,country,clusters,total
0,Argentina,0,0.0
1,Argentina,1,0.08
2,Argentina,2,0.02
3,Argentina,3,0.01
4,Armenia,0,0.0
5,Armenia,1,0.0
6,Armenia,2,0.0
7,Armenia,3,0.0
8,Australia,0,0.0
9,Australia,1,0.01
10,Australia,2,0.02
11,Australia,3,0.03
12,Austria,0,0.04
13,Austria,1,0.01
14,Austria,2,0.05
15,Austria,3,0.01
16,Bosnia and Herzegovina,0,0.0
17,Bosnia and Herzegovina,1,0.0
18,Bosnia and Herzegovina,2,0.0
19,Bosnia and Herzegovina,3,0.0
20,Brazil,0,0.0
21,Brazil,1,0.0
22,Brazil,2,0.0
23,Brazil,3,0.0
24,Bulgaria,0,0.0
25,Bulgaria,1,0.0
26,Bulgaria,2,0.0
27,Bulgaria,3,0.0
28,Canada,0,0.0
29,Canada,1,0.0
30,Canada,2,0.0
31,Canada,3,0.0
32,Chile,0,0.0
33,Chile,1,0.08
34,Chile,2,0.04
35,Chile,3,0.01
36,China,0,0.0
37,China,1,0.0
38,China,2,0.0
39,China,3,0.0
40,Croatia,0,0.0
41,Croatia,1,0.0
42,Croatia,2,0.0
43,Croatia,3,0.0
44,Cyprus,0,0.0
45,Cyprus,1,0.0
46,Cyprus,2,0.0
47,Cyprus,3,0.0
48,Czech Republic,0,0.0
49,Czech Republic,1,0.0
50,Czech Republic,2,0.0
51,Czech Republic,3,0.0
52,Egypt,0,0.0
53,Egypt,1,0.0
54,Egypt,2,0.0
55,Egypt,3,0.0
56,England,0,0.0
57,England,1,0.0
58,England,2,0.0
59,England,3,0.0
60,France,0,0.69
61,France,1,0.02
62,France,2,0.09
63,France,3,0.03
64,Georgia,0,0.0
65,Georgia,1,0.0
66,Georgia,2,0.0
67,Georgia,3,0.0
68,Germany,0,0.0
69,Germany,1,0.0
70,Germany,2,0.06
71,Germany,3,0.0
72,Greece,0,0.0
73,Greece,1,0.01
74,Greece,2,0.01
75,Greece,3,0.0
76,Hungary,0,0.0
77,Hungary,1,0.0
78,Hungary,2,0.0
79,Hungary,3,0.0
80,India,0,0.0
81,India,1,0.0
82,India,2,0.0
83,India,3,0.0
84,Israel,0,0.0
85,Israel,1,0.01
86,Israel,2,0.0
87,Israel,3,0.0
88,Italy,0,0.01
89,Italy,1,0.32
90,Italy,2,0.16
91,Italy,3,0.08
92,Lebanon,0,0.0
93,Lebanon,1,0.0
94,Lebanon,2,0.0
95,Lebanon,3,0.0
96,Luxembourg,0,0.0
97,Luxembourg,1,0.0
98,Luxembourg,2,0.0
99,Luxembourg,3,0.0
100,Macedonia,0,0.0
101,Macedonia,1,0.0
102,Macedonia,2,0.0
103,Macedonia,3,0.0
104,Mexico,0,0.0
105,Mexico,1,0.0
106,Mexico,2,0.0
107,Mexico,3,0.0
108,Moldova,0,0.0
109,Moldova,1,0.0
110,Moldova,2,0.0
111,Moldova,3,0.0
112,Morocco,0,0.0
113,Morocco,1,0.0
114,Morocco,2,0.0
115,Morocco,3,0.0
116,New Zealand,0,0.0
117,New Zealand,1,0.0
118,New Zealand,2,0.02
119,New Zealand,3,0.02
120,Peru,0,0.0
121,Peru,1,0.0
122,Peru,2,0.0
123,Peru,3,0.0
124,Portugal,0,0.22
125,Portugal,1,0.0
126,Portugal,2,0.01
127,Portugal,3,0.0
128,Romania,0,0.0
129,Romania,1,0.0
130,Romania,2,0.0
131,Romania,3,0.0
132,Serbia,0,0.0
133,Serbia,1,0.0
134,Serbia,2,0.0
135,Serbia,3,0.0
136,Slovakia,0,0.0
137,Slovakia,1,0.0
138,Slovakia,2,0.0
139,Slovakia,3,0.0
140,Slovenia,0,0.0
141,Slovenia,1,0.0
142,Slovenia,2,0.0
143,Slovenia,3,0.0
144,South Africa,0,0.0
145,South Africa,1,0.02
146,South Africa,2,0.02
147,South Africa,3,0.01
148,Spain,0,0.0
149,Spain,1,0.12
150,Spain,2,0.05
151,Spain,3,0.02
152,Switzerland,0,0.0
153,Switzerland,1,0.0
154,Switzerland,2,0.0
155,Switzerland,3,0.0
156,Turkey,0,0.0
157,Turkey,1,0.0
158,Turkey,2,0.0
159,Turkey,3,0.0
160,US,0,0.04
161,US,1,0.3
162,US,2,0.44
163,US,3,0.78
164,Ukraine,0,0.0
165,Ukraine,1,0.0
166,Ukraine,2,0.0
167,Ukraine,3,0.0
168,Uruguay,0,0.0
169,Uruguay,1,0.0
170,Uruguay,2,0.0
171,Uruguay,3,0.0
